x, y, yaw
-2.95123,-0.735133,0.0343378
-2.77068,-0.729955,0.0402998
-2.59012,-0.724777,0.0462619
-2.40957,-0.719599,0.0522239
-2.22902,-0.714421,0.0581859
-2.04847,-0.709243,0.0641479
-1.86158,-0.706482,0.058541
-1.67469,-0.70372,0.0529341
-1.4878,-0.700959,0.0473272
-1.30091,-0.698197,0.0417203
-1.11402,-0.695436,0.0361134
-0.927132,-0.692674,0.0305065
-0.740243,-0.689913,0.0248996
-0.553353,-0.687151,0.0192927
-0.366464,-0.68439,0.0136857
-0.179575,-0.681628,0.00807884
0.00731468,-0.678867,0.00247192
